timestamp,current,voltage,soc
4/13/2022 0:04,-0.2,975,54.7
4/13/2022 0:04,-0.2,975,54.7
4/13/2022 0:04,-2.111731349,974.6813781,54.7
4/13/2022 0:04,-3.457008187,974.4143306,54.7
4/13/2022 0:04,-16.83033366,971.96545,54.7
4/13/2022 0:04,-18.08186908,971.7,54.7
4/13/2022 0:04,-19.97635719,971.2064254,54.7
4/13/2022 0:04,-21.43979973,970.7265332,54.7
4/13/2022 0:04,-21.60236092,970.5437886,54.7
4/13/2022 0:04,-21.78531413,970.3095831,54.7
4/13/2022 0:04,-13.84903512,971.5078408,54.7
4/13/2022 0:04,-9.472596746,972.1,54.7
4/13/2022 0:04,-0.080419664,973.7852996,54.7
4/13/2022 0:04,-3.857187512,973.2771002,54.7
4/13/2022 0:04,-18.12579056,970.865902,54.6
4/13/2022 0:04,-20.22589058,970.3258906,54.6
4/13/2022 0:04,-31.27000133,968.2299998,54.6
4/13/2022 0:04,-32.13304212,967.8271821,54.6
4/13/2022 0:04,-28.15501538,968.2677882,54.6
4/13/2022 0:04,-25.12256858,968.6370948,54.6
4/13/2022 0:04,-28.5229561,967.8930817,54.6
4/13/2022 0:05,-32.39931524,967.2869863,54.5
4/13/2022 0:05,-34.60440684,966.8933897,54.5
4/13/2022 0:05,-34.00396468,966.5096916,54.5
4/13/2022 0:05,-33.1,966.4651353,54.5
4/13/2022 0:05,-29.7,966.9,54.5
4/13/2022 0:05,-29.16550208,966.9296943,54.4
4/13/2022 0:05,-26.20325994,967.2189342,54.4
4/13/2022 0:05,-24.00768754,967.5584625,54.4
4/13/2022 0:05,-24.3590375,967.3204813,54.4
4/13/2022 0:05,-25.69152132,967.1395262,54.4
4/13/2022 0:05,-30.98756244,966.0606964,54.4
4/13/2022 0:05,-32.53320895,965.5332089,54.4
4/13/2022 0:05,-32.59145353,965.5,54.3
4/13/2022 0:05,-29.46859652,965.8164254,54.3
4/13/2022 0:05,-24.47545642,966.6207573,54.3
4/13/2022 0:05,-18.6,967.6611361,54.3
4/13/2022 0:05,-16.04142488,968.0301387,54.3
4/13/2022 0:05,-18.83566085,967.6663342,54.3
4/13/2022 0:05,-21.4,967.3,54.3
4/13/2022 0:05,-24.24377732,966.661601,54.3
4/13/2022 0:05,-31.49720726,965.3750465,54.2
4/13/2022 0:05,-32.14528596,965.0685186,54.2
4/13/2022 0:05,-25.21815921,966.1,54.2
4/13/2022 0:05,-24.40554861,966.2348504,54.2
4/13/2022 0:05,-28.81709365,965.424454,54.2
4/13/2022 0:05,-29.58239684,965.1890138,54.2
4/13/2022 0:05,-30.616771,965.1416145,54.1
4/13/2022 0:05,-31.1,964.9,54.1
4/13/2022 0:05,-31.1,964.8373947,54.1
4/13/2022 0:05,-33.54848133,964.2934177,54.1
4/13/2022 0:06,-32.8397005,964.2112633,54.1
4/13/2022 0:06,-24.85664153,965.4018797,54.1
4/13/2022 0:06,-23.8,965.6,54
4/13/2022 0:06,-23.8,965.6,54
4/13/2022 0:06,-26.52751255,965.1817839,54
4/13/2022 0:06,-26.89395484,965.0937288,54
4/13/2022 0:06,-25.14841371,965.3,54
4/13/2022 0:06,-25.4,965.2238966,54
4/13/2022 0:06,-25.92052239,965.1958955,54
4/13/2022 0:06,-26.92649627,964.9735037,53.9
4/13/2022 0:06,-27.51216478,964.797567,53.9
4/13/2022 0:06,-29.35249861,964.4745836,53.9
4/13/2022 0:06,-32.31354707,963.8613828,53.9
4/13/2022 0:06,-29.6,964.3,53.9
4/13/2022 0:06,-29.79271818,964.2229127,53.9
4/13/2022 0:06,-26.08983756,964.6728803,53.8
4/13/2022 0:06,-26.53688481,964.6468536,53.8
4/13/2022 0:06,-26.37468597,964.6397613,53.8
4/13/2022 0:06,-26.88297754,964.472299,53.8
4/13/2022 0:06,-28.83823516,964.0904412,53.8
4/13/2022 0:06,-28,964.3,53.8
4/13/2022 0:06,-27.74812482,964.130375,53.8
4/13/2022 0:06,-25.34869419,964.6102612,53.7
4/13/2022 0:06,-24.71697737,964.6714553,53.7
4/13/2022 0:06,-22.27538934,965.1364486,53.7
4/13/2022 0:06,-20.44003403,965.2793392,53.7
4/13/2022 0:06,-26.16183052,964.4317559,53.7
4/13/2022 0:06,-24.25382688,964.7211575,53.7
4/13/2022 0:06,-23.36512501,964.9,53.7
4/13/2022 0:06,-24.76123363,964.6277533,53.6
4/13/2022 0:07,-24.40692454,964.577043,53.6
4/13/2022 0:07,-21.37536227,965.0811594,53.6
4/13/2022 0:07,-20.54490476,965.2,53.6
4/13/2022 0:07,-17.7436202,965.5195475,53.6
4/13/2022 0:07,-15.55043592,965.8050436,53.6
4/13/2022 0:07,-17.1559951,965.7509102,53.6
4/13/2022 0:07,-20.41854191,965.1782527,53.6
4/13/2022 0:07,-24.32498442,964.6741956,53.6
4/13/2022 0:07,-21.25431087,965,53.5
4/13/2022 0:07,-19.70419728,965.181055,53.5
4/13/2022 0:07,-16.52668766,965.7455521,53.5
4/13/2022 0:07,-3.96143574,967.8397607,53.5
4/13/2022 0:07,0,968.6995003,53.5
4/13/2022 0:07,0,968.9,53.5
4/13/2022 0:07,0,968.9491568,53.5
4/13/2022 0:07,-1.621628522,968.9262896,53.5
4/13/2022 0:07,-8.575294857,967.9259966,53.5
4/13/2022 0:07,-19.83670411,965.684769,53.5
4/13/2022 0:07,-11.46141323,967.2255785,53.5
4/13/2022 0:07,-0.643617022,969.0485607,53.5
4/13/2022 0:07,0,969.2,53.5
